county,district,area,restaurant_count,join_key,density,suggested_radius_m
彰化縣,埔鹽鄉,38.6081,9,彰化縣埔鹽鄉,0.23,4600
彰化縣,埔心鄉,20.9526,28,彰化縣埔心鄉,1.34,1900
彰化縣,永靖鄉,20.6382,16,彰化縣永靖鄉,0.78,2500
彰化縣,社頭鄉,36.1449,17,彰化縣社頭鄉,0.47,3200
彰化縣,二水鄉,29.4449,3,彰化縣二水鄉,0.1,5000
彰化縣,田尾鄉,24.0375,18,彰化縣田尾鄉,0.75,2600
彰化縣,埤頭鄉,42.7508,21,彰化縣埤頭鄉,0.49,3200
彰化縣,芳苑鄉,91.3827,14,彰化縣芳苑鄉,0.15,5000
彰化縣,大城鄉,63.7406,2,彰化縣大城鄉,0.03,5000
彰化縣,竹塘鄉,42.1662,0,彰化縣竹塘鄉,0.0,5000
彰化縣,溪州鄉,75.831,9,彰化縣溪州鄉,0.12,5000
南投縣,南投市,71.6021,116,南投縣南投市,1.62,1800
南投縣,埔里鎮,162.2227,184,南投縣埔里鎮,1.13,2100
南投縣,草屯鎮,104.0327,123,南投縣草屯鎮,1.18,2100
南投縣,竹山鎮,247.3339,45,南投縣竹山鎮,0.18,5000
南投縣,集集鎮,49.7268,18,南投縣集集鎮,0.36,3700
南投縣,名間鄉,83.0955,23,南投縣名間鄉,0.28,4200
南投縣,鹿谷鄉,141.8981,39,南投縣鹿谷鄉,0.27,4300
南投縣,中寮鄉,146.6541,4,南投縣中寮鄉,0.03,5000
南投縣,魚池鄉,121.3735,80,南投縣魚池鄉,0.66,2700
南投縣,國姓鄉,175.7042,12,南投縣國姓鄉,0.07,5000
南投縣,水里鄉,106.8424,17,南投縣水里鄉,0.16,5000
南投縣,信義鄉,1422.4188,6,南投縣信義鄉,0.0,5000
南投縣,仁愛鄉,1273.5312,17,南投縣仁愛鄉,0.01,5000
雲林縣,斗六市,93.7151,192,雲林縣斗六市,2.05,1600
雲林縣,斗南鎮,48.1505,40,雲林縣斗南鎮,0.83,2400
雲林縣,虎尾鎮,68.742,88,雲林縣虎尾鎮,1.28,2000
雲林縣,西螺鎮,49.7985,34,雲林縣西螺鎮,0.68,2700
雲林縣,土庫鎮,49.0212,17,雲林縣土庫鎮,0.35,3700
雲林縣,北港鎮,41.4999,42,雲林縣北港鎮,1.01,2200
雲林縣,古坑鄉,166.6059,35,雲林縣古坑鄉,0.21,4800
雲林縣,大埤鄉,44.9973,6,雲林縣大埤鄉,0.13,5000
雲林縣,莿桐鄉,50.8502,8,雲林縣莿桐鄉,0.16,5000
雲林縣,林內鄉,37.6035,18,雲林縣林內鄉,0.48,3200
雲林縣,二崙鄉,59.5625,4,雲林縣二崙鄉,0.07,5000
雲林縣,崙背鄉,58.484,9,雲林縣崙背鄉,0.15,5000
雲林縣,麥寮鄉,80.1668,17,雲林縣麥寮鄉,0.21,4800
雲林縣,東勢鄉,48.3562,1,雲林縣東勢鄉,0.02,5000
雲林縣,褒忠鄉,37.0552,2,雲林縣褒忠鄉,0.05,5000
雲林縣,臺西鄉,54.0983,12,雲林縣臺西鄉,0.22,4700
雲林縣,元長鄉,71.5872,7,雲林縣元長鄉,0.1,5000
雲林縣,四湖鄉,77.1189,4,雲林縣四湖鄉,0.05,5000
雲林縣,口湖鄉,80.4612,10,雲林縣口湖鄉,0.12,5000
雲林縣,水林鄉,72.9582,2,雲林縣水林鄉,0.03,5000
嘉義縣,太保市,66.8964,43,嘉義縣太保市,0.64,2800
嘉義縣,朴子市,49.5737,30,嘉義縣朴子市,0.61,2800
嘉義縣,布袋鎮,61.7307,10,嘉義縣布袋鎮,0.16,5000
嘉義縣,大林鎮,64.1663,19,嘉義縣大林鎮,0.3,4000
嘉義縣,民雄鄉,85.4969,68,嘉義縣民雄鄉,0.8,2500
嘉義縣,溪口鄉,33.0463,3,嘉義縣溪口鄉,0.09,5000
嘉義縣,新港鄉,66.0495,13,嘉義縣新港鄉,0.2,4900
嘉義縣,六腳鄉,62.2619,6,嘉義縣六腳鄉,0.1,5000
嘉義縣,東石鄉,81.5821,3,嘉義縣東石鄉,0.04,5000
嘉義縣,義竹鄉,79.2925,5,嘉義縣義竹鄉,0.06,5000
嘉義縣,鹿草鄉,54.3151,5,嘉義縣鹿草鄉,0.09,5000
嘉義縣,水上鄉,69.1198,23,嘉義縣水上鄉,0.33,3900
嘉義縣,中埔鄉,129.5016,58,嘉義縣中埔鄉,0.45,3300
嘉義縣,竹崎鄉,162.2256,13,嘉義縣竹崎鄉,0.08,5000
嘉義縣,梅山鄉,119.7571,13,嘉義縣梅山鄉,0.11,5000
嘉義縣,番路鄉,117.5269,18,嘉義縣番路鄉,0.15,5000
嘉義縣,大埔鄉,173.2472,3,嘉義縣大埔鄉,0.02,5000
嘉義縣,阿里山鄉,427.8471,6,嘉義縣阿里山鄉,0.01,5000
屏東縣,屏東市,65.067,369,屏東縣屏東市,5.67,1000
屏東縣,潮州鎮,42.4331,60,屏東縣潮州鎮,1.41,1900
屏東縣,東港鎮,29.4635,64,屏東縣東港鎮,2.17,1500
屏東縣,恆春鎮,136.763,181,屏東縣恆春鎮,1.32,2000
屏東縣,萬丹鄉,57.4679,21,屏東縣萬丹鄉,0.37,3600
屏東縣,長治鄉,39.8861,28,屏東縣長治鄉,0.7,2700
屏東縣,麟洛鄉,16.26,8,屏東縣麟洛鄉,0.49,3200
屏東縣,九如鄉,42.0187,5,屏東縣九如鄉,0.12,5000
屏東縣,里港鄉,68.9208,14,屏東縣里港鄉,0.2,4900
屏東縣,鹽埔鄉,64.3493,7,屏東縣鹽埔鄉,0.11,5000
屏東縣,高樹鄉,90.1522,12,屏東縣高樹鄉,0.13,5000
屏東縣,萬巒鄉,60.7315,12,屏東縣萬巒鄉,0.2,4900
屏東縣,內埔鄉,81.8554,40,屏東縣內埔鄉,0.49,3200
屏東縣,竹田鄉,29.0732,4,屏東縣竹田鄉,0.14,5000
屏東縣,新埤鄉,59.0102,1,屏東縣新埤鄉,0.02,5000
屏東縣,枋寮鄉,57.7347,25,屏東縣枋寮鄉,0.43,3400
屏東縣,新園鄉,38.3109,13,屏東縣新園鄉,0.34,3800
屏東縣,崁頂鄉,31.2659,8,屏東縣崁頂鄉,0.26,4300
屏東縣,林邊鄉,15.6233,9,屏東縣林邊鄉,0.58,2900
屏東縣,南州鄉,18.97,5,屏東縣南州鄉,0.26,4300
屏東縣,佳冬鄉,30.9842,8,屏東縣佳冬鄉,0.26,4300
屏東縣,琉球鄉,6.8018,29,屏東縣琉球鄉,4.26,1100
屏東縣,車城鄉,49.8517,19,屏東縣車城鄉,0.38,3600
屏東縣,滿州鄉,142.2013,7,屏東縣滿州鄉,0.05,5000
屏東縣,枋山鄉,17.2697,7,屏東縣枋山鄉,0.41,3500
屏東縣,三地門鄉,196.3965,6,屏東縣三地門鄉,0.03,5000
屏東縣,霧臺鄉,278.796,5,屏東縣霧臺鄉,0.02,5000
屏東縣,瑪家鄉,78.7008,8,屏東縣瑪家鄉,0.1,5000
屏東縣,泰武鄉,118.6266,1,屏東縣泰武鄉,0.01,5000
屏東縣,來義鄉,167.7756,2,屏東縣來義鄉,0.01,5000
屏東縣,春日鄉,160.001,2,屏東縣春日鄉,0.01,5000
屏東縣,獅子鄉,301.0018,3,屏東縣獅子鄉,0.01,5000
屏東縣,牡丹鄉,181.8366,6,屏東縣牡丹鄉,0.03,5000
臺東縣,臺東市,109.7691,245,臺東縣臺東市,2.23,1500
臺東縣,成功鎮,143.9939,8,臺東縣成功鎮,0.06,5000
臺東縣,關山鎮,58.7351,11,臺東縣關山鎮,0.19,5000
臺東縣,卑南鄉,412.6871,35,臺東縣卑南鄉,0.08,5000
臺東縣,大武鄉,69.1454,1,臺東縣大武鄉,0.01,5000
臺東縣,太麻里鄉,96.6523,17,臺東縣太麻里鄉,0.18,5000
臺東縣,東河鄉,210.1908,15,臺東縣東河鄉,0.07,5000
臺東縣,長濱鄉,155.1868,6,臺東縣長濱鄉,0.04,5000
臺東縣,鹿野鄉,89.698,13,臺東縣鹿野鄉,0.14,5000
臺東縣,池上鄉,82.6854,17,臺東縣池上鄉,0.21,4800
臺東縣,綠島鄉,15.0919,14,臺東縣綠島鄉,0.93,2300
臺東縣,延平鄉,455.8805,4,臺東縣延平鄉,0.01,5000
臺東縣,海端鄉,880.0382,1,臺東縣海端鄉,0.0,5000
臺東縣,達仁鄉,306.4454,3,臺東縣達仁鄉,0.01,5000
臺東縣,金峰鄉,380.6635,6,臺東縣金峰鄉,0.02,5000
臺東縣,蘭嶼鄉,48.3892,7,臺東縣蘭嶼鄉,0.14,5000
花蓮縣,花蓮市,29.4095,345,花蓮縣花蓮市,11.73,700
花蓮縣,鳳林鎮,120.5181,6,花蓮縣鳳林鎮,0.05,5000
花蓮縣,玉里鎮,252.3719,19,花蓮縣玉里鎮,0.08,5000
花蓮縣,新城鄉,29.4095,58,花蓮縣新城鄉,1.97,1600
花蓮縣,吉安鄉,65.2582,116,花蓮縣吉安鄉,1.78,1700
花蓮縣,壽豐鄉,218.4448,34,花蓮縣壽豐鄉,0.16,5000
花蓮縣,光復鄉,157.11,8,花蓮縣光復鄉,0.05,5000
花蓮縣,豐濱鄉,162.4332,8,花蓮縣豐濱鄉,0.05,5000
花蓮縣,瑞穗鄉,135.5862,17,花蓮縣瑞穗鄉,0.13,5000
花蓮縣,富里鄉,176.3705,2,花蓮縣富里鄉,0.01,5000
花蓮縣,秀林鄉,1641.8555,13,花蓮縣秀林鄉,0.01,5000
花蓮縣,萬榮鄉,618.491,1,花蓮縣萬榮鄉,0.0,5000
花蓮縣,卓溪鄉,1021.313,1,花蓮縣卓溪鄉,0.0,5000
澎湖縣,馬公市,33.9918,184,澎湖縣馬公市,5.41,1000
澎湖縣,湖西鄉,33.3008,19,澎湖縣湖西鄉,0.57,2900
澎湖縣,白沙鄉,20.0875,20,澎湖縣白沙鄉,1.0,2200
澎湖縣,西嶼鄉,18.7148,4,澎湖縣西嶼鄉,0.21,4800
澎湖縣,望安鄉,13.7824,5,澎湖縣望安鄉,0.36,3700
澎湖縣,七美鄉,6.9868,0,澎湖縣七美鄉,0.0,5000
基隆市,中正區,10.2118,119,基隆市中正區,11.65,700
基隆市,七堵區,56.2659,39,基隆市七堵區,0.69,2700
基隆市,暖暖區,22.8283,39,基隆市暖暖區,1.71,1700
基隆市,仁愛區,4.2335,80,基隆市仁愛區,18.9,600
基隆市,中山區,10.5238,35,基隆市中山區,3.33,1200
基隆市,安樂區,18.025,69,基隆市安樂區,3.83,1200
基隆市,信義區,10.6706,59,基隆市信義區,5.53,1000
新竹市,東區,33.5768,520,新竹市東區,15.49,600
新竹市,北區,15.7267,241,新竹市北區,15.32,600
新竹市,香山區,54.8491,100,新竹市香山區,1.82,1700
嘉義市,東區,30.1556,189,嘉義市東區,6.27,900
嘉義市,西區,29.87,283,嘉義市西區,9.47,800
金門縣,金城鎮,21.713,61,金門縣金城鎮,2.81,1400
金門縣,金湖鎮,41.696,49,金門縣金湖鎮,1.18,2100
金門縣,金沙鎮,41.19,26,金門縣金沙鎮,0.63,2800
金門縣,金寧鄉,29.854,36,金門縣金寧鄉,1.21,2000
金門縣,烈嶼鄉,16.003,4,金門縣烈嶼鄉,0.25,4400
金門縣,烏坵鄉,1.2,0,金門縣烏坵鄉,0.0,5000
連江縣,南竿鄉,10.4,25,連江縣南竿鄉,2.4,1500
連江縣,北竿鄉,9.9,12,連江縣北竿鄉,1.21,2000
連江縣,莒光鄉,4.7,1,連江縣莒光鄉,0.21,4800
連江縣,東引鄉,3.8,3,連江縣東引鄉,0.79,2500
