X,Y,id,left,top,right,bottom,row_index,col_index
121.34001008521,25.1132862392282,448,283789.21,2778868.6283,284789.21,2777868.6283,21,6
121.33998511727,25.104258148404,449,283789.21,2777868.6283,284789.21,2776868.6283,22,6
121.33996016139,25.0952300465673,450,283789.21,2776868.6283,284789.21,2775868.6283,23,6
121.339935217567,25.0862019337209,451,283789.21,2775868.6283,284789.21,2774868.6283,24,6
121.339910285796,25.0771738098677,452,283789.21,2774868.6283,284789.21,2773868.6283,25,6
121.339885366074,25.0681456750107,453,283789.21,2773868.6283,284789.21,2772868.6283,26,6
121.339661630134,24.9868919665979,462,283789.21,2764868.6283,284789.21,2763868.6283,35,6
121.339636830688,24.9778637218606,463,283789.21,2763868.6283,284789.21,2762868.6283,36,6
121.339612043247,24.9688354661513,464,283789.21,2762868.6283,284789.21,2761868.6283,37,6
121.339587267809,24.9598071994727,465,283789.21,2761868.6283,284789.21,2760868.6283,38,6
121.33956250437,24.9507789218277,466,283789.21,2760868.6283,284789.21,2759868.6283,39,6
121.339537752926,24.9417506332194,467,283789.21,2759868.6283,284789.21,2758868.6283,40,6
121.339513013473,24.9327223336505,468,283789.21,2758868.6283,284789.21,2757868.6283,41,6
121.339488286007,24.923694023124,469,283789.21,2757868.6283,284789.21,2756868.6283,42,6
121.339463570524,24.9146657016428,470,283789.21,2756868.6283,284789.21,2755868.6283,43,6
121.33943886702,24.9056373692097,471,283789.21,2755868.6283,284789.21,2754868.6283,44,6
121.339414175493,24.8966090258278,472,283789.21,2754868.6283,284789.21,2753868.6283,45,6
121.339389495937,24.8875806714998,473,283789.21,2753868.6283,284789.21,2752868.6283,46,6
121.33936482835,24.8785523062287,474,283789.21,2752868.6283,284789.21,2751868.6283,47,6
121.339340172726,24.8695239300173,475,283789.21,2751868.6283,284789.21,2750868.6283,48,6
121.339315529063,24.8604955428687,476,283789.21,2750868.6283,284789.21,2749868.6283,49,6
121.339290897357,24.8514671447857,477,283789.21,2749868.6283,284789.21,2748868.6283,50,6
121.339266277604,24.8424387357712,478,283789.21,2748868.6283,284789.21,2747868.6283,51,6
121.339241669799,24.8334103158282,479,283789.21,2747868.6283,284789.21,2746868.6283,52,6
121.350003053696,25.1403473476373,516,284789.21,2781868.6283,285789.21,2780868.6283,18,7
121.349977320385,25.1313192992931,517,284789.21,2780868.6283,285789.21,2779868.6283,19,7
121.349951599498,25.1222912399264,518,284789.21,2779868.6283,285789.21,2778868.6283,20,7
121.349925891031,25.1132631695401,519,284789.21,2778868.6283,285789.21,2777868.6283,21,7
121.34990019498,25.104235088137,520,284789.21,2777868.6283,285789.21,2776868.6283,22,7
121.34987451134,25.09520699572,521,284789.21,2776868.6283,285789.21,2775868.6283,23,7
121.34984884011,25.086178892292,522,284789.21,2775868.6283,285789.21,2774868.6283,24,7
121.349823181283,25.0771507778559,523,284789.21,2774868.6283,285789.21,2773868.6283,25,7
121.349797534856,25.0681226524146,524,284789.21,2773868.6283,285789.21,2772868.6283,26,7
121.349771900825,25.0590945159709,525,284789.21,2772868.6283,285789.21,2771868.6283,27,7
121.349567274363,24.9868690286831,533,284789.21,2764868.6283,285789.21,2763868.6283,35,7
121.349541751719,24.9778407933481,534,284789.21,2763868.6283,285789.21,2762868.6283,36,7
121.349516241431,24.9688125470398,535,284789.21,2762868.6283,285789.21,2761868.6283,37,7
121.349490743496,24.9597842897609,536,284789.21,2761868.6283,285789.21,2760868.6283,38,7
121.349465257909,24.9507560215143,537,284789.21,2760868.6283,285789.21,2759868.6283,39,7
121.349439784667,24.941727742303,538,284789.21,2759868.6283,285789.21,2758868.6283,40,7
121.349414323766,24.9326994521298,539,284789.21,2758868.6283,285789.21,2757868.6283,41,7
121.349388875201,24.9236711509976,540,284789.21,2757868.6283,285789.21,2756868.6283,42,7
121.349363438969,24.9146428389094,541,284789.21,2756868.6283,285789.21,2755868.6283,43,7
121.349338015066,24.905614515868,542,284789.21,2755868.6283,285789.21,2754868.6283,44,7
121.349312603488,24.8965861818764,543,284789.21,2754868.6283,285789.21,2753868.6283,45,7
121.349287204231,24.8875578369375,544,284789.21,2753868.6283,285789.21,2752868.6283,46,7
121.349261817291,24.8785294810541,545,284789.21,2752868.6283,285789.21,2751868.6283,47,7
121.349236442664,24.8695011142291,546,284789.21,2751868.6283,285789.21,2750868.6283,48,7
121.349211080346,24.8604727364656,547,284789.21,2750868.6283,285789.21,2749868.6283,49,7
121.349185730334,24.8514443477663,548,284789.21,2749868.6283,285789.21,2748868.6283,50,7
121.349160392623,24.8424159481343,549,284789.21,2748868.6283,285789.21,2747868.6283,51,7
121.349135067209,24.8333875375723,550,284789.21,2747868.6283,285789.21,2746868.6283,52,7
121.359947508788,25.1493516133977,586,285789.21,2782868.6283,286789.21,2781868.6283,17,8
121.359921033533,25.1403235857763,587,285789.21,2781868.6283,286789.21,2780868.6283,18,8
121.359894571059,25.1312955471282,588,285789.21,2780868.6283,286789.21,2779868.6283,19,8
121.359868121361,25.1222674974561,589,285789.21,2779868.6283,286789.21,2778868.6283,20,8
121.359841684435,25.1132394367631,590,285789.21,2778868.6283,286789.21,2777868.6283,21,8
121.359815260277,25.1042113650518,591,285789.21,2777868.6283,286789.21,2776868.6283,22,8
121.359788848883,25.0951832823254,592,285789.21,2776868.6283,286789.21,2775868.6283,23,8
121.359762450248,25.0861551885865,593,285789.21,2775868.6283,286789.21,2774868.6283,24,8
121.359736064369,25.0771270838381,594,285789.21,2774868.6283,286789.21,2773868.6283,25,8
121.359709691241,25.0680989680831,595,285789.21,2773868.6283,286789.21,2772868.6283,26,8
121.359683330861,25.0590708413244,596,285789.21,2772868.6283,286789.21,2771868.6283,27,8
121.359472906232,24.9868454314668,604,285789.21,2764868.6283,286789.21,2763868.6283,35,8
121.359446660394,24.9778172058045,605,285789.21,2763868.6283,286789.21,2762868.6283,36,8
121.359420427263,24.9687889691673,606,285789.21,2762868.6283,286789.21,2761868.6283,37,8
121.359394206834,24.9597607215583,607,285789.21,2761868.6283,286789.21,2760868.6283,38,8
121.359367999103,24.9507324629802,608,285789.21,2760868.6283,286789.21,2759868.6283,39,8
121.359341804067,24.9417041934359,609,285789.21,2759868.6283,286789.21,2758868.6283,40,8
121.359315621722,24.9326759129285,610,285789.21,2758868.6283,286789.21,2757868.6283,41,8
121.359289452062,24.9236476214607,611,285789.21,2757868.6283,286789.21,2756868.6283,42,8
121.359263295085,24.9146193190355,612,285789.21,2756868.6283,286789.21,2755868.6283,43,8
121.359237150786,24.9055910056558,613,285789.21,2755868.6283,286789.21,2754868.6283,44,8
